Year,AverageTemperature
1905,18.399508680555556
1906,18.481419097222222
1907,18.13715611961057
1908,18.291030945758
1909,18.34412777777778
1910,18.38008125
1911,18.408202430555555
1912,18.46474097222222
1913,18.491489583333333
1914,18.660602430555556
1915,18.711239930555557
1916,18.551877430555557
1917,18.242554166666668
1918,18.393740277777777
1919,18.53186145833333
1920,18.532302155771905
1921,18.605046891281695
1922,18.504153125000002
1923,18.565419444444444
1924,18.621859027777777
1925,18.588913194444444
1926,18.86793229166667
1927,18.739181944444443
1928,18.73845902777778
1929,18.485819444444445
1930,18.84251094129906
1931,18.7554
1932,18.74608263888889
1933,18.558323958333332
1934,18.81882361111111
1935,18.72231076388889
1936,18.810619444444445
1937,18.957946875
1938,18.87344513888889
1939,18.811529166666666
1940,18.70296423611111
1941,18.88144548611111
1942,18.76261076388889
1943,18.817043402777777
1944,18.857434722222223
1945,18.806567361111114
1946,18.92441423611111
1947,19.040987847222222
1948,18.78403448275862
1949,18.748070344827585
1950,18.599716747070985
1951,18.775119146005512
1952,18.805691460055098
1953,18.855640495867767
1954,18.580321280991736
1955,18.657285468319557
1956,18.28758712121212
1957,18.759615013774106
1958,18.94217320936639
1959,18.825205922865013
1960,18.88701308539945
1961,18.923565426997246
1962,18.693847451790635
1963,18.675247933884297
1964,18.58127479338843
1965,18.517540633608817
1966,18.866287534435262
1967,18.634186983471075
1968,18.605818870523418
1969,18.77152582644628
1970,18.794121212121215
1971,18.58820661157025
1972,18.665611570247936
1973,18.87329338842975
1974,18.631447314049588
1975,18.746661845730028
1976,18.48219662534435
1977,18.92226067493113
1978,18.729517217630857
1979,18.909544077134985
1980,18.853321280991736
1981,18.91613636363636
1982,18.85216873278237
1983,19.094044077134985
1984,18.764960743801655
1985,18.69913085399449
1986,18.80115185950413
1987,19.05104476584022
1988,19.111678719008264
1989,19.05676687327824
1990,19.317686294765842
1991,19.011359848484847
1992,18.97200723140496
1993,18.93079958677686
1994,19.25170179063361
1995,19.26706955922865
1996,18.958374655647383
1997,19.250350895316803
1998,19.59678305785124
1999,19.392099517906335
2000,19.349202134986225
2001,19.42530337465565
2002,19.56552341597796
2003,19.525086776859503
2004,19.42209194214876
2005,19.499590220385674
2006,19.539134986225896
2007,19.610394283746555
2008,19.423961776859503
2009,19.546385330578513
2010,19.629806129476584
2011,19.456040289256197
2012,19.46874414600551
2013,19.877007153806847
